mh_id,bird_sp,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
PP3,Sylvia melanocephala,Puntal,PP,0.168,11,65.47619047619047,Pinus pinea,-6.445685,36.9646569,NA
PP4,Erithacus rubecula,Puntal,PP,0.168,3,17.857142857142858,Pinus pinea,-6.4457275,36.9651021,NA
PP4,Sturnus unicolor,Puntal,PP,0.168,12,71.42857142857143,Pinus pinea,-6.4457275,36.9651021,NA
PP4,Sylvia communis,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4457275,36.9651021,NA
PP4,Sylvia melanocephala,Puntal,PP,0.168,7,41.666666666666664,Pinus pinea,-6.4457275,36.9651021,NA
PP4,Turdus merula,Puntal,PP,0.168,11,65.47619047619047,Pinus pinea,-6.4457275,36.9651021,NA
PP5,Cyanopica cooki,Puntal,PP,0.168,2,11.904761904761903,Quercus suber,-6.4472034,36.9655627,NA
PP5,Erithacus rubecula,Puntal,PP,0.168,2,11.904761904761903,Quercus suber,-6.4472034,36.9655627,NA
PP5,Muscicapa striata,Puntal,PP,0.168,1,5.952380952380952,Quercus suber,-6.4472034,36.9655627,NA
PP5,Sylvia atricapilla,Puntal,PP,0.168,1,5.952380952380952,Quercus suber,-6.4472034,36.9655627,NA
PP5,Sylvia melanocephala,Puntal,PP,0.168,18,107.14285714285714,Quercus suber,-6.4472034,36.9655627,NA
PP6,Cyanopica cooki,Puntal,PP,0.168,3,17.857142857142858,Pinus pinea,-6.4470879,36.965858,NA
PP6,Erithacus rubecula,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4470879,36.965858,NA
PP6,Phoenicurus phoenicurus,Puntal,PP,0.168,4,23.809523809523807,Pinus pinea,-6.4470879,36.965858,NA
PP6,Sylvia hortensis,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4470879,36.965858,NA
PP6,Sylvia melanocephala,Puntal,PP,0.168,9,53.57142857142857,Pinus pinea,-6.4470879,36.965858,NA
PP6,Turdus merula,Puntal,PP,0.168,2,11.904761904761903,Pinus pinea,-6.4470879,36.965858,NA
PP7,Erithacus rubecula,Puntal,PP,0.168,2,11.904761904761903,Pinus pinea,-6.4463572,36.9644766,NA
PP7,Sylvia communis,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4463572,36.9644766,NA
PP7,Sylvia melanocephala,Puntal,PP,0.168,11,65.47619047619047,Pinus pinea,-6.4463572,36.9644766,NA
PP7,NA,Puntal,PP,0.168,2,11.904761904761903,Pinus pinea,-6.4463572,36.9644766,NA
PP8,Erithacus rubecula,Puntal,PP,0.168,5,29.76190476190476,Pinus pinea,-6.4460287,36.9647967,NA
PP8,Luscinia megarhynchos,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4460287,36.9647967,NA
PP8,Sylvia melanocephala,Puntal,PP,0.168,10,59.52380952380952,Pinus pinea,-6.4460287,36.9647967,NA
PP8,Sylvia undata,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4460287,36.9647967,NA
PP8,NA,Puntal,PP,0.168,1,5.952380952380952,Pinus pinea,-6.4460287,36.9647967,NA
PP9,Erithacus rubecula,Puntal,PP,0.168,2,11.904761904761903,Pinus pinea,-6.4460771,36.9647889,NA
PP9,Sylvia melanocephala,Puntal,PP,0.168,15,89.28571428571428,Pinus pinea,-6.4460771,36.9647889,NA
