site,year,collection,round,plant_id,total_fruits,fresh_fruits,red,black,dry,r_float,r_sink,b_float,b_sink,wasp,abort,partheno,wasp_dry,term,viab.p,unviab.p,wasp.p,abort.p,partheno.p,viab.se,unviab.se
puntal,2019-20,2019-20 mid,2,307,127,125,120,5,2,97,23,0,5,1,19,16,NA,mid,0.224,0.776,0.008,0.4169142857142857,0.3510857142857143,0.03729064225781047,0.037290642257810466
puntal,2019-20,2019-20 late,3,307,89,33,24,9,56,24,0,3,6,0,13,5,NA,late,0.18181818181818182,0.8181818181818182,0,0.5909090909090909,0.2272727272727273,0.06714081326145421,0.06714081326145421
puntal,2018-19,2018-19 early,1,308,263,254,215,39,9,173,42,10,29,2,32,9,NA,early,0.2795275590551181,0.7204724409448819,0.007874015748031496,0.5561743806414443,0.1564240445554062,0.028158151697560987,0.02815815169756098
puntal,2019-20,2019-20 early,1,308,217,197,167,30,20,118,49,2,28,13,32,8,NA,early,0.39086294416243655,0.6091370558375635,0.06598984771573604,0.434517766497462,0.1086294416243655,0.03476455273870755,0.034764552738707544
puntal,2019-20,2019-20 mid,2,308,197,155,116,39,42,115,1,38,1,23,40,0,NA,mid,0.012903225806451613,0.9870967741935484,0.14838709677419354,0.8387096774193548,0,0.009064903099045929,0.00906490309904594
puntal,2019-20,2019-20 late,3,308,38,30,25,5,8,25,0,4,1,8,NA,NA,NA,late,0.03333333333333333,0.9666666666666667,0.26666666666666666,NA,NA,0.032773069341672505,0.0327730693416725
puntal,2018-19,2018-19 early,1,309,176,153,111,42,23,108,3,30,12,0,29,12,NA,early,0.09803921568627451,0.9019607843137255,0,0.6379722620755619,0.26398852223816355,0.024040750789486323,0.02404075078948632
puntal,2019-20,2019-20 early,1,309,127,40,38,2,87,36,2,0,2,9,10,2,NA,early,0.1,0.9,0.225,0.5625000000000001,0.1125,0.047434164902525694,0.04743416490252569
puntal,2019-20,2019-20 mid,2,309,61,13,8,5,48,6,2,2,3,0,10,5,13,mid,0.38461538461538464,0.6153846153846154,0.21311475409836064,0.2681799075241698,0.1340899537620849,0.1349320029703122,0.1349320029703122
puntal,2018-19,2018-19 early,1,310,338,334,292,42,4,254,38,15,27,0,20,20,NA,early,0.19461077844311378,0.8053892215568862,0,0.4026946107784431,0.4026946107784431,0.02166272657412696,0.02166272657412696
