mh_id,bird_sp,seed_sp1,site,mh,sample_effort,n_seeds,n_seed_m2,sp_under,X_coord,Y_coord,length
313,Erithacus rubecula,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Erithacus rubecula,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Saxicola rubicola,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Sylvia communis,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Sylvia melanocephala,asparagus,Puntal,PL,0.22,8,36.36363636363637,Pistacia lentiscus,-6.446062,36.9647111,NA
313,Sylvia melanocephala,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.446062,36.9647111,NA
313,NA,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.446062,36.9647111,NA
314,Chloris chloris,myrtus,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Chloris chloris,pistacia,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Erithacus rubecula,asparagus,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Erithacus rubecula,pistacia,Puntal,PL,0.44,35,79.54545454545455,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sturnus unicolor,olea,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sturnus unicolor,pistacia,Puntal,PL,0.44,3,6.818181818181818,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sturnus unicolor,rubus,Puntal,PL,0.44,16,36.36363636363637,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia atricapilla,asparagus,Puntal,PL,0.44,7,15.909090909090908,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia borin,phillyrea,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia hortensis,phillyrea,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia melanocephala,asparagus,Puntal,PL,0.44,8,18.181818181818183,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia melanocephala,pistacia,Puntal,PL,0.44,16,36.36363636363637,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Sylvia undata,pistacia,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Turdus merula,phillyrea,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Turdus merula,pistacia,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.4462849,36.9644358,NA
314,Turdus merula,rubus,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.4462849,36.9644358,NA
315,Erithacus rubecula,asparagus,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,Erithacus rubecula,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,Sturnus unicolor,rubus,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,Sylvia melanocephala,asparagus,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,Sylvia melanocephala,pistacia,Puntal,PL,0.22,16,72.72727272727273,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,NA,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4460781,36.9643791,NA
315,NA,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4460781,36.9643791,NA
316,Erithacus rubecula,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4462629,36.9647623,NA
316,Sylvia melanocephala,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4462629,36.9647623,NA
316,Sylvia melanocephala,pistacia,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4462629,36.9647623,NA
316,Sylvia melanocephala,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4462629,36.9647623,NA
317,Erithacus rubecula,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457802,36.9650922,NA
317,Sylvia atricapilla,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4457802,36.9650922,NA
317,Sylvia melanocephala,asparagus,Puntal,PL,0.22,15,68.18181818181819,Pistacia lentiscus,-6.4457802,36.9650922,NA
317,Sylvia melanocephala,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4457802,36.9650922,NA
318,Chloris chloris,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Chloris chloris,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Erithacus rubecula,asparagus,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Erithacus rubecula,pistacia,Puntal,PL,0.22,18,81.81818181818181,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Erithacus rubecula,smilax,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia communis,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia communis,phillyrea,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia communis,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia communis,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia melanocephala,asparagus,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia melanocephala,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Sylvia melanocephala,pistacia,Puntal,PL,0.22,11,50,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Turdus merula,myrtus,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Turdus merula,rubia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,Turdus merula,smilax,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4456448,36.9652256,NA
318,NA,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4456448,36.9652256,NA
319,Erithacus rubecula,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445606,36.965501,NA
319,Erithacus rubecula,pistacia,Puntal,PL,0.22,11,50,Pistacia lentiscus,-6.445606,36.965501,NA
319,Pyrrhula pyrrhula,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia atricapilla,asparagus,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia atricapilla,smilax,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia hortensis,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia melanocephala,asparagus,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia melanocephala,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445606,36.965501,NA
319,Sylvia undata,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445606,36.965501,NA
319,NA,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.445606,36.965501,NA
319,NA,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.445606,36.965501,NA
320,Chloris chloris,pistacia,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.446655,36.965437,NA
320,Erithacus rubecula,asparagus,Puntal,PL,0.44,9,20.454545454545453,Pistacia lentiscus,-6.446655,36.965437,NA
320,Erithacus rubecula,pistacia,Puntal,PL,0.44,24,54.54545454545455,Pistacia lentiscus,-6.446655,36.965437,NA
320,Fringilla coelebs,pistacia,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.446655,36.965437,NA
320,Phoenicurus phoenicurus,pistacia,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.446655,36.965437,NA
320,Sylvia atricapilla,pistacia,Puntal,PL,0.44,2,4.545454545454546,Pistacia lentiscus,-6.446655,36.965437,NA
320,Sylvia melanocephala,asparagus,Puntal,PL,0.44,3,6.818181818181818,Pistacia lentiscus,-6.446655,36.965437,NA
320,Sylvia melanocephala,pistacia,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.446655,36.965437,NA
320,Sylvia undata,pistacia,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.446655,36.965437,NA
320,Turdus merula,olea,Puntal,PL,0.44,1,2.272727272727273,Pistacia lentiscus,-6.446655,36.965437,NA
320,Turdus merula,pistacia,Puntal,PL,0.44,5,11.363636363636363,Pistacia lentiscus,-6.446655,36.965437,NA
320,NA,asparagus,Puntal,PL,0.44,4,9.090909090909092,Pistacia lentiscus,-6.446655,36.965437,NA
320,NA,pistacia,Puntal,PL,0.44,3,6.818181818181818,Pistacia lentiscus,-6.446655,36.965437,NA
321,Chloris chloris,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Erithacus rubecula,pistacia,Puntal,PL,0.22,9,40.90909090909091,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Sylvia atricapilla,asparagus,Puntal,PL,0.22,9,40.90909090909091,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Sylvia atricapilla,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Sylvia melanocephala,asparagus,Puntal,PL,0.22,12,54.54545454545455,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,Sylvia melanocephala,pistacia,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,NA,asparagus,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4468212,36.9652785,NA
321,NA,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4468212,36.9652785,NA
322,Cyanopica cooki,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Erithacus rubecula,asparagus,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Erithacus rubecula,pistacia,Puntal,PL,0.22,19,86.36363636363636,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Erithacus rubecula,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Sylvia atricapilla,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Sylvia melanocephala,asparagus,Puntal,PL,0.22,7,31.818181818181817,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Sylvia melanocephala,pistacia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,Sylvia melanocephala,smilax,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466821,36.9651221,NA
322,NA,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4466821,36.9651221,NA
323,Erithacus rubecula,pistacia,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Phoenicurus phoenicurus,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Saxicola rubicola,pistacia,Puntal,PL,0.22,4,18.181818181818183,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Sylvia communis,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Sylvia melanocephala,asparagus,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Sylvia melanocephala,phillyrea,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Sylvia melanocephala,pistacia,Puntal,PL,0.22,6,27.272727272727273,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Sylvia undata,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,Turdus merula,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4459763,36.9650225,NA
323,NA,pistacia,Puntal,PL,0.22,3,13.636363636363637,Pistacia lentiscus,-6.4459763,36.9650225,NA
324,Erithacus rubecula,pistacia,Puntal,PL,0.22,5,22.727272727272727,Pistacia lentiscus,-6.4463152,36.9652821,NA
324,Erithacus rubecula,rubia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4463152,36.9652821,NA
324,Sylvia communis,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4463152,36.9652821,NA
324,Sylvia melanocephala,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4463152,36.9652821,NA
325,Erithacus rubecula,pistacia,Puntal,PL,0.22,13,59.09090909090909,Pistacia lentiscus,-6.4462464,36.9655517,NA
325,Erithacus rubecula,rubia,Puntal,PL,0.22,2,9.090909090909092,Pistacia lentiscus,-6.4462464,36.9655517,NA
325,Erithacus rubecula,smilax,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4462464,36.9655517,NA
325,Sylvia communis,pistacia,Puntal,PL,0.22,1,4.545454545454546,Pistacia lentiscus,-6.4462464,36.9655517,NA
