# file_name - name of the file containing the video of the event;;;;;;;;;;;;;;;;;;
# date - when the video was recorded;;;;;;;;;;;;;;;;;;
# plant - the individual plant at which the video was recorded;;;;;;;;;;;;;;;;;;
# black_availability - availability of black fruits in the branch measured as an observational percentage;;;;;;;;;;;;;;;;;;
# spp - bird species feeding;;;;;;;;;;;;;;;;;;
# no_fruits - total number of  fruits succesfully removed and usually swallowed (unless the bird leaves with the fruit on the beak to consume it other place);;;;;;;;;;;;;;;;;;
# beak_trials - total number of beak trials (succesful and not succesful);;;;;;;;;;;;;;;;;;
# fruit_black - number of black fruits consumed;;;;;;;;;;;;;;;;;;
# fruit_red - number of red frutis consumed;;;;;;;;;;;;;;;;;;
# fruit_NA - number of consumed fruits whose color is not appreciated.;;;;;;;;;;;;;;;;;;
# dropped_fruits - number of fruits droped;;;;;;;;;;;;;;;;;;
# flight_fruit - of the bird leaves with the fruit on the beak without swallowing it first;;;;;;;;;;;;;;;;;;
# arrival - minute in the video of bird arrival;;;;;;;;;;;;;;;;;;
# departure - minute in the video with bird departure;;;;;;;;;;;;;;;;;;
# duration - visit duration;;;;;;;;;;;;;;;;;;
# behav - bird behaviour (mostly feeding);;;;;;;;;;;;;;;;;;
# feeding - binary variable (yes/no);;;;;;;;;;;;;;;;;;
# full_visit - if the visit is fully recorded (yes) or if it is partial (no);;;;;;;;;;;;;;;;;;
# indiv_obs - observations for the specific video;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
##--------------------------------------##;;;;;;;;;;;;;;;;;;
file_name;date;plant;black_availability;spp;no_fruits;beak_trials;fruit_black;fruit_red;fruit_NA;dropped_fruits;flight_fruit;arrival;departure;duration;behav;feeding;full_visit;indiv_obs
20200128_5_E_rub_fight.mp4;20200128;A;0.75;Erithacus rubecula;1;1;1;0;0;0;yes;0:00:17;0:00:27;0:23;feeding;yes;yes;Expulsed by another robin
20200128_6_E_rub.mp4;20200128;A;0.7;Erithacus rubecula;3;5;3;0;0;0;no;0:00:03;0:00:18;0:15;feeding;yes;yes;GREAT CAPTURE!
20200128_7_S_mel.mp4;20200128;D;0.6;Sylvia melanocephala;2;3;2;0;0;0;no;0:00:21;0:00:45;0:26;feeding;yes;yes;
20200128_8_S_mel.mp4;20200128;D;0.6;Sylvia melanocephala;3;3;3;0;0;0;yes;0:00:03;0:00:24;0:21;feeding;yes;yes;leaves with fruit on beak
20200128_9_E_rub.mp4;20200128;D;0.55;Erithacus rubecula;5;5;5;0;0;0;yes;0:00:01;0:00:23;0:22;feeding;yes;yes;
20200203_1_S_mel.mp4;20200203;A;0;Sylvia melanocephala;0;1;0;0;0;1;no;0:00:02;0:00:21;0:19;exploring;no;yes;discards one fruit
20200203_3_E_rub.mp4;20200203;J;0.1;Erithacus rubecula;5;5;4;0;1;0;yes;0:00:07;0:00:36;0:29;feeding;yes;yes;
20200203_4_E_rub.mp4;20200203;J;0.1;Erithacus rubecula;3;4;3;0;0;1;no;0:00:06;0:00:23;0:17;feeding;yes;yes;discards one fruit (not considered in the count)
20200203_5_E_rub.mp4;20200203;J;0.1;Erithacus rubecula;3;3;1;0;2;0;NA;0:00:03;0:00:11;0:08;feeding;yes;yes;
20200203_6_E_rub.mp4;20200203;J;0.1;Erithacus rubecula;3;4;2;1;0;0;no;0:00:02;0:00:25;0:23;feeding;yes;yes;
20200203_7_E_rub.mp4;20200203;J;0.1;Erithacus rubecula;4;5;0;2;2;0;yes;0:00:02;0:00:34;0:32;feeding;yes;yes;
20200210_1_E.rub.mp4;20200210;K;0.5;Erithacus rubecula;7;7;4;0;3;0;no;0:00:15;0:00:31;0:16;feeding;yes;yes;impressive
20200210_2_E.rub.mp4;20200210;K;0.5;Erithacus rubecula;3;3;3;0;0;0;yes;0:00:04;0:00:11;0:07;feeding;yes;yes;leaves with fruit on beak
20200210_3_E.rub.mp4;20200210;K;0.5;Erithacus rubecula;3;3;3;0;0;0;NA;0:00:04;0:00:18;0:14;feeding;yes;yes;
20200210_4_E.rub.mp4;20200210;K;0.5;Erithacus rubecula;2;2;2;0;0;0;no;0:00:04;0:00:43;0:39;feeding;yes;yes;leaves with fruit on beak
20200211_1_S.mel.MP4;20200211;L;0.85;Sylvia melanocephala;3;4;3;0;0;0;no;0:00:10;0:01:02;0:52;feeding;yes;yes;take panicle with two fruits, I count one fruit
20200211_10_E.rub.MP4;20200211;L;0.7;Erithacus rubecula;1;4;1;0;0;0;no;0:00:02;0:00:37;0:35;feeding;yes;yes;4 trials (3 failed)
20200211_11_S.mel.MP4;20200211;L;0.7;Sylvia melanocephala;4;6;4;0;0;1;no;0:00:04;0:00:49;0:45;feeding;yes;yes;6 trials (2 failed) GREAT CAPTURE
20200211_12_S.mel.MP4;20200211;L;0.7;Sylvia melanocephala;2;3;2;0;0;0;yes;0:00:01;0:00:27;0:26;feeding;yes;yes;leaves with fruit on beak (+1 failed trial). Good capture
20200211_13_S.mel.MP4;20200211;L;0.6;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:08;0:00:36;0:28;feeding;yes;yes;GREAT CAPTURE!
20200211_14_E.rub.MP4;20200211;L;0.5;Erithacus rubecula;1;1;1;0;0;0;no;0:00:07;0:00:11;0:04;feeding;yes;yes;leaves because of S mel
20200211_15_S.mel.MP4;20200211;L;0.6;Sylvia melanocephala;4;6;4;0;0;2;no;0:00:03;0:01:37;1:38;feeding;yes;yes;Interesting video, good capture. Drops one panicle with 2 fruits and discards 1 fruit. Sits next to the camera.
20200211_16_S.mel.MP4;20200211;L;0.55;Sylvia melanocephala;1;2;1;0;0;1;no;0:00:02;0:00:23;0:21;feeding;yes;yes;discards one fruit (not consumed, bit red, prob inmature), and drops one pannicle. Good capture
20200211_17_S.mel.MP4;20200211;L;0.5;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:05;0:00:27;0:22;feeding;yes;yes;
20200211_18_S.mel.mp4;20200211;M;0.95;Sylvia melanocephala;2;2;2;0;0;0;no;0:00:03;0:00:36;0:33;feeding;yes;yes;
20200211_19_S.mel.mp4;20200211;M;0.95;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:04;0:00:14;0:10;feeding;yes;yes;
20200211_2_S.mel.MP4;20200211;L;0.85;Sylvia melanocephala;2;2;2;0;0;0;no;0:00:03;0:00:42;0:39;feeding;yes;yes;
20200211_20_S.mel.mp4;20200211;M;0.95;Sylvia melanocephala;1;2;1;0;0;1;no;0:00:01;0:00:15;0:14;feeding;yes;yes;drops 1 fruits
20200211_21_S.mel.mp4;20200211;M;0.95;Sylvia melanocephala;3;3;3;0;0;0;no;0:00:05;0:00:36;0:31;feeding;yes;yes;
20200211_22_E.rub.mp4;20200211;M;0.95;Erithacus rubecula;7;9;7;0;0;2;yes;0:00:03;0:00:13;0:09;feeding;yes;yes;in 3 sub-visits eats 7 black fruits and drops 2 old panicles (counted as beak trials and dropped fruits)
20200211_23_E.rub.mp4;20200211;M;0.9;Erithacus rubecula;1;1;1;0;0;0;yes;0:00:05;0:00:06;0:01;feeding;yes;yes;leaves with fruit on beak
20200211_24_E.rub_2 visits.mp4;20200211;M;0.9;Erithacus rubecula;1;1;1;0;0;0;no;0:00:03;0:00:06;0:03;feeding;yes;yes;
20200211_24_E.rub_2 visits.mp4;20200211;M;0.8;Erithacus rubecula;4;5;4;0;0;0;yes;0:00:34;0:01:07;0:33;feeding;yes;yes;1 failed trial
20200211_25_E.rub.mp4;20200211;M;0.5;Erithacus rubecula;1;1;1;0;0;0;yes;0:00:12;0:00:13;0:01;feeding;yes;yes;leaves with fruit on beak
20200211_25_E.rub.mp4;20200211;M;0;Erithacus rubecula;;;;;;;;0:00:34;0:00:43;0:09;exploring;no;yes;came looking for fruits, but no more fruits left
20200211_26_E.rub.mp4;20200211;N;0.4;Erithacus rubecula;3;3;0;0;3;0;no;0:00:20;0:01:45;1:25;feeding;yes;partial;not fully visible
20200211_27_E.rub.mp4;20200211;N;0.4;Erithacus rubecula;2;2;1;0;1;0;no;0:00:14;0:00:51;0:37;feeding;yes;yes;
20200211_28_S.mel_E.rub.mp4;20200211;N;0.3;Sylvia melanocephala;4;5;4;0;0;0;yes;0:00:17;0:01:38;1:21;feeding;yes;yes;good capture
20200211_28_S.mel_E.rub.mp4;20200211;N;0.3;Erithacus rubecula;4;5;3;0;1;0;yes;0:01:41;0:02:13;0:32;feeding;yes;yes;
20200211_29_S.mel.mp4;20200211;N;0.25;Sylvia melanocephala;3;5;3;0;0;0;no;0:00:05;0:00:52;0:47;feeding;yes;yes;2 failed trials
20200211_3_S.mel.MP4;20200211;L;0.85;Sylvia melanocephala;1;1;1;0;0;0;no;0:00:08;0:00:33;0:25;feeding;yes;yes;
20200211_30_S.mel.mp4;20200211;N;0.2;Sylvia melanocephala;2;4;2;0;0;0;yes;0:00:34;0:00:53;0:19;feeding;yes;yes;2 failed trials
20200211_31_E.rub.mp4;20200211;N;0.2;Erithacus rubecula;2;2;2;0;0;0;NA;0:00:27;0:00:45;0:18;feeding;yes;yes;
20200211_32_S.mel.mp4;20200211;N;0.15;Sylvia melanocephala;2;4;2;0;0;0;no;0:00:06;0:00:43;0:37;feeding;yes;yes;2 failed trials
20200211_33_S.mel_E.rub_3visits.mp4;20200211;N;0.1;Sylvia melanocephala;5;7;5;0;0;0;yes;0:00:07;0:01:25;1:18;feeding;yes;yes;2 failed trial
20200211_33_S.mel_E.rub_3visits.mp4;20200211;N;0.05;Sylvia melanocephala;2;2;1;0;1;0;yes;0:02:19;0:02:57;0:38;feeding;yes;yes;GREAT CAPTURE!
20200211_33_S.mel_E.rub_3visits.mp4;20200211;N;0.05;Erithacus rubecula;3;4;3;0;0;0;no;0:04:55;0:06:16;1:21;feeding;yes;yes;1 failed trial. Trying to get the best approach to the fruits
20200211_34_S.mel.mov;20200211;N;0.05;Sylvia melanocephala;2;2;2;0;0;0;yes;0:00:06;0:00:37;0:31;feeding;yes;yes;
20200211_35_E.rub.mp4;20200211;N;0.05;Erithacus rubecula;3;3;3;0;0;0;no;0:00:04;0:01:27;1:23;feeding;yes;yes;tries to feed, but does not find a confortable position for the first minutes
